,Index,Topic,Title,article Id,Data-set,Sentence,C_Label,NA_Label,Mapped Claims,evidence_targets,Topic id
0,0,This house believes atheism is the only way,The System of Nature,2258,train and test,"the system of nature or , the laws of the moral and physical world ( système de la nature ou des loix du monde physique et du monde moral ) is a work of philosophy by paul henri thiry , baron d'holbach ( 1723 – 1789 ) .",0,1,[],[],648.0
1,1,This house believes atheism is the only way,The System of Nature,2258,train and test,"it was originally published under the name of jean - baptiste de mirabaud , a deceased member of the french academy of science .",0,1,[],[],648.0
2,2,This house believes atheism is the only way,The System of Nature,2258,train and test,"d'holbach wrote and published this book &ndash; possibly with the assistance of diderot [ ref ] &ndash; anonymously in 1770 , describing the universe in terms of the principles of philosophical materialism : the mind is identified with brain , there is no "" soul "" without a living body , the world is governed by strict deterministic laws , free will is an illusion , [ ref ] there are no final causes , and whatever happens takes places because it inexorably must .",0,1,[],[],648.0
3,3,This house believes atheism is the only way,The System of Nature,2258,train and test,"most notoriously , the work explicitly denies the existence of god , arguing that belief in a higher being is the product of fear , lack of understanding , and anthropomorphism .",1,0,['belief in a higher being is the product of fear'],[],648.0
4,4,This house believes atheism is the only way,The System of Nature,2258,train and test,"though not a scientist himself , d'holbach was scientifically literate and he tried to develop his philosophy in accordance with the known facts of nature and the scientific knowledge of the day , citing , for example , the experiments of john needham as proof that life could develop autonomously without the intervention of a deity .",0,1,[],[],648.0
5,5,This house believes atheism is the only way,The System of Nature,2258,train and test,"it makes a critical distinction between mythology as a more or less benign way of bringing law ordered thought on society , nature and their powers to the masses and theology .",0,1,[],[],648.0
6,6,This house believes atheism is the only way,The System of Nature,2258,train and test,"theology which , when it separates from mythology raises the power of nature above nature itself and thus alienates the two ( i.e. "" nature "" , all that actually exists , from its power , now personified in a being outside nature ) , is by contrast a pernicious force in human affairs without parallel [ ref ] .",0,1,[],[],648.0
7,7,This house believes atheism is the only way,The System of Nature,2258,train and test,the book was considered extremely radical in its day and the list of people writing refutations of the work was long .,0,1,[],[],648.0
8,8,This house believes atheism is the only way,The System of Nature,2258,train and test,"the roman catholic church had its pre-eminent theologian nicolas - sylvestre bergier write a refutation titled examen du matérialisme ( "" materialism examined "" ) .",0,1,[],[],648.0
9,9,This house believes atheism is the only way,The System of Nature,2258,train and test,"voltaire , too , seized his pen to refute the philosophy of the système in the article "" dieu "" in his dictionnaire philosophique , while frederick the great also drew up an answer to it .",0,1,[],[],648.0
10,10,This house believes atheism is the only way,The System of Nature,2258,train and test,"its principles are summed up in a more popular form in d'holbach 's bon sens , ou idées naturelles opposees aux idées surnaturelles [ ref ] .",0,1,[],[],648.0
11,11,This house believes atheism is the only way,God Is Not Great,2250,train and test,god is not great : how religion poisons everything is a 2007 book by the late author and journalist christopher hitchens criticising religion .,0,1,[],[],648.0
12,12,This house believes atheism is the only way,God Is Not Great,2250,train and test,it was published in the united kingdom as god is not great : the case against religion .,0,1,[],[],648.0
13,13,This house believes atheism is the only way,God Is Not Great,2250,train and test,"in the book , hitchens contends that organised religion is "" violent , irrational , intolerant , allied to racism , tribalism , and bigotry , invested in ignorance and hostile to free inquiry , contemptuous of women and coercive toward children "" and sectarian , and that accordingly it "" ought to have a great deal on its conscience . """,0,1,[],[],648.0
14,14,This house believes atheism is the only way,God Is Not Great,2250,train and test,"hitchens supports his position with a mixture of personal stories , documented historical anecdotes and critical analysis of religious texts .",0,1,[],[],648.0
15,15,This house believes atheism is the only way,God Is Not Great,2250,train and test,"his commentary focuses mainly on the abrahamic religions , although it also touches on other religions , such as hinduism and buddhism .",0,1,[],[],648.0
16,16,This house believes atheism is the only way,God Is Not Great,2250,train and test,"hitchens writes that , at the age of nine , he began to question the teachings of his bible instructor , and began to see critical flaws in apologetic arguments , most notably the argument from design [ ref ] .",0,1,[],[],648.0
17,17,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he goes on to discuss people who become atheists , saying that some are people who have never believed , whereas others are those who have separately discarded religious traditions .",0,1,[],[],648.0
18,18,This house believes atheism is the only way,God Is Not Great,2250,train and test,he also asserts that atheists who disagree with each other will eventually side together on whatever the evidence most strongly supports [ ref ] .,0,1,[],[],648.0
19,19,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he briefly discusses why human beings have a tendency towards being "" faithful "" and argues that religion will remain entrenched in the human consciousness as long as human beings can not overcome their primitive fears , particularly that of their own mortality .",0,1,[],[],648.0
20,20,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he ends by saying that he would not want to eradicate religion if the faithful would "" leave him alone "" , but , ultimately , that they are incapable of this [ ref ] .",0,1,[],[],648.0
21,21,This house believes atheism is the only way,God Is Not Great,2250,train and test,"in this chapter , hitchens addresses a hypothetical question he was asked on a panel with radio host dennis prager : if he were alone in an unfamiliar city at night , and a group of strangers began to approach him , would he feel safer , or less safe , knowing that these men had just come from a prayer meeting ?",0,1,[],[],648.0
22,22,This house believes atheism is the only way,God Is Not Great,2250,train and test,"hitchens answers , "" just to stay within the letter ' b ' , i have actually had that experience in belfast , beirut , bombay , belgrade , bethlehem and baghdad .",0,1,[],[],648.0
23,23,This house believes atheism is the only way,God Is Not Great,2250,train and test,in each case .,0,1,[],[],648.0
24,24,This house believes atheism is the only way,God Is Not Great,2250,train and test,i would feel immediately threatened if i thought that the group of men approaching me in the dusk were coming from a religious observance [ ref ] .,0,1,[],[],648.0
25,25,This house believes atheism is the only way,God Is Not Great,2250,train and test,""" he gave detailed descriptions of the tense social and political situations within these cities , which he attributes to religion .",0,1,[],[],648.0
26,26,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he has thus "" not found it a prudent rule to seek help as the prayer meeting breaks up . """,0,1,[],[],648.0
27,27,This house believes atheism is the only way,God Is Not Great,2250,train and test,next he discusses the 1989 fatwa issued on author and friend salman rushdie by the ayatollah khomeini because of the contents of his book the satanic verses [ ref ] .,0,1,[],[],648.0
28,28,This house believes atheism is the only way,God Is Not Great,2250,train and test,he goes on to criticise several public figures for laying the blame for the incident on rushdie himself .,0,1,[],[],648.0
29,29,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he also writes about the events following the september 11 , 2001 attacks , describing how religion , particularly major religious figures , allowed matters to "" deteriorate in the interval between the removal of the taliban and the overthrow of saddam hussein . """,0,1,[],[],648.0
30,30,This house believes atheism is the only way,God Is Not Great,2250,train and test,"hitchens discusses the prohibition on eating pigs ( "" porcophobia "" as hitchens calls it ) in judaism , also adopted by islam [ ref ] .",0,1,[],[],648.0
31,31,This house believes atheism is the only way,God Is Not Great,2250,train and test,hitchens writes that this proscription is not just biblical or dietary .,0,1,[],[],648.0
32,32,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he reports that even today , muslim zealots demand that the three little pigs , miss piggy , piglet from winnie - the - pooh and other traditional pets and characters be "" removed from the innocent gaze of their children . """,0,1,[],[],648.0
33,33,This house believes atheism is the only way,God Is Not Great,2250,train and test,"[ ref ] hitchens proposes that the prohibition against pork found in semitic religions may be based in the proscription of human sacrifice , extended to pigs because of the similarities in appearance and flavor between pork and human flesh [ ref ] .",0,1,[],[],648.0
34,34,This house believes atheism is the only way,God Is Not Great,2250,train and test,"in this chapter , hitchens explains how some religions can be hostile to treating diseases .",0,1,[],[],648.0
35,35,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he writes that many muslims saw the polio vaccine as a conspiracy , and thus allowed polio to spread [ ref ] .",0,1,[],[],648.0
36,36,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he goes on to discuss the catholic church 's response to the spread of hiv in africa , telling people that condoms are ineffective , which , he argues , contributes to the death toll [ ref ] .",0,1,[],[],648.0
37,37,This house believes atheism is the only way,God Is Not Great,2250,train and test,he notes with examples that some in both the catholic and the muslim communities believe irrationally that hiv and hpv are punishment for sexual sin — particularly homosexuality [ ref ] .,0,1,[],[],648.0
38,38,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he describes religious leaders as "" faith healers "" , and opines that they are hostile to medicine because it necessarily undermines their position of power [ ref ] .",0,1,[],[],648.0
39,39,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he then criticises the jewish ritual of circumcision that would have him "" take a baby boy 's penis in my hand , cut around the prepuce , and complete the action by taking his penis in my mouth , sucking off the foreskin , and spitting out the amputated flap along with a mouthful of blood and saliva "" , and denounces the traditional african practice of female genital mutilation .",0,1,[],[],648.0
40,40,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he concludes the chapter writing of the religious "" wish for obliteration "" — for a death in the form of the day of the apocalypse .",0,1,[],[],648.0
41,41,This house believes atheism is the only way,God Is Not Great,2250,train and test,hitchens begins this chapter by saying that the strong faith that could stand up to any form of reason is long gone .,0,1,[],[],648.0
42,42,This house believes atheism is the only way,God Is Not Great,2250,train and test,he compares the popular knowledge of the world in thomas aquinas ' time to what we now know about the world .,0,1,[],[],648.0
43,43,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he uses the example of laplace — "" it works well enough without that [ god ] hypothesis "" [ ref ] — to demonstrate that we do not need god to explain things ; he claims that religion becomes obsolete as an explanation when it becomes optional or one among many different beliefs .",1,0,['we do not need God to explain things'],[],648.0
44,44,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he concludes by averring that the leap of faith is not just one leap ; it is a leap repeatedly made , and a leap that becomes more difficult to take the more it is taken : which is why so many religionists now feel the need to move beyond mere faith and cite evidence for their beliefs .",0,1,[],[],648.0
45,45,This house believes atheism is the only way,God Is Not Great,2250,train and test,"in this chapter , hitchens writes that abrahamic religions are used to make people feel like lowly sinners , encouraging low self - esteem , while at the same time leading them to believe that their creator genuinely cares for them , thus inflating their sense of self - importance .",0,1,[],[],648.0
46,46,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he says that superstition to some extent has a "" natural advantage "" , being that it was contrived many centuries before the modern age of human reason and scientific understanding , and discusses a few examples as well as so - called miracles .",0,1,[],[],648.0
47,47,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he then discusses the design arguments , using examples such as the human body wearing out in old age as bad design .",0,1,[],[],648.0
48,48,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he writes that if evolution had taken a slightly different course , there would be no guarantee at all that organisms remotely like us would ever have existed .",0,1,[],[],648.0
49,49,This house believes atheism is the only way,God Is Not Great,2250,train and test,"here hitchens lists anachronisms and inconsistencies in the old testament , and writes that many of the "" gruesome , disordered events [ .",0,1,[],[],648.0
50,50,This house believes atheism is the only way,God Is Not Great,2250,train and test,never took place .,0,1,[],[],648.0
51,51,This house believes atheism is the only way,God Is Not Great,2250,train and test,""" [ ref ] he writes that the pentateuch is "" an ill - carpentered fiction , bolted into place well after the non-events that it fails to describe convincingly or even plausibly .",0,1,[],[],648.0
52,52,This house believes atheism is the only way,God Is Not Great,2250,train and test,""" [ ref ] he points out , for instance , that when moses orders parents to have their children stoned to death ( see also list of capital crimes in the torah ) for indiscipline ( citing deuteronomy [ ref ] ) it is probably a violation of at least one of the very commandments moses brought down from god .",0,1,[],[],648.0
53,53,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he observes that moses "" continually makes demented pronouncements ( ' he that is wounded in the stones , or hath his privy member cut off , shall not enter into the congregation of the lord ' ) . """,0,1,[],[],648.0
54,54,This house believes atheism is the only way,God Is Not Great,2250,train and test,"hitchens first connects the book of isaiah in the old testament with its prediction that "" a virgin shall conceive , and bear a son "" ( see isaiah 7:14 ) , pointing out where the stories converge , old testament to new .",0,1,[],[],648.0
55,55,This house believes atheism is the only way,God Is Not Great,2250,train and test,"comparing the testaments , he considers the new testament "" also a work of crude carpentry , hammered together long after its purported events , and full of improvised attempts to make things come out right . """,0,1,[],[],648.0
56,56,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he points out that , while h. l. mencken considered some of the new testament events to be historically verifiable , mencken maintained that "" most of them [ .",0,1,[],[],648.0
57,57,This house believes atheism is the only way,God Is Not Great,2250,train and test,show unmistakable signs of having been tampered with .,0,1,[],[],648.0
58,58,This house believes atheism is the only way,God Is Not Great,2250,train and test,"hitchens also outlines the inaccuracy in luke 's attempt to triangulate three world events of the time with jesus 's birth ( viz , the census ordered by caesar augustus of the entire roman world , the reign of king herod in judea and that of quirinius as governor of syria , see the census of quirinius ) .",0,1,[],[],648.0
59,59,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he further relates that there is no record by any roman historian of any augustan census , and that , although "" the jewish chronicler josephus mentions one that did occur — without the onerous requirement for people to return to their places of birth "" , it was undertaken "" six years after the birth of jesus is supposed to have taken place . """,0,1,[],[],648.0
60,60,This house believes atheism is the only way,God Is Not Great,2250,train and test,"in addition hitchens notes that herod died in 4 bc , and that quirinius was not governor of syria during his tenure .",0,1,[],[],648.0
61,61,This house believes atheism is the only way,God Is Not Great,2250,train and test,"hitchens refers to the passion of the christ as "" a soap - opera film about the death of jesus [ .",0,1,[],[],648.0
62,62,This house believes atheism is the only way,God Is Not Great,2250,train and test,"produced by an australian fascist and ham actor named mel gibson "" , who "" adheres to a crackpot and schismatic catholic sect "" .",0,1,[],[],648.0
63,63,This house believes atheism is the only way,God Is Not Great,2250,train and test,"in hitchens ' view , the film attempts tirelessly to blame the death of jesus on the jews .",0,1,[],[],648.0
64,64,This house believes atheism is the only way,God Is Not Great,2250,train and test,"hitchens claims that gibson did not realize that the four gospels were not at all historical records , and that they had multiple authors , all being written many decades after the crucifixion — and , moreover , that they do not agree on anything "" of importance "" ( e.g. , the virgin birth and the genealogy of jesus ) .",0,1,[],[],648.0
65,65,This house believes atheism is the only way,God Is Not Great,2250,train and test,he cites many contradictions in this area [ ref ] .,0,1,[],[],648.0
66,66,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he further contends that the many "" contradictions and illiteracies "" of the new testament , while written about at great length in other books , have never been explained except as "" metaphor "" and "" a christ of faith . """,0,1,[],[],648.0
67,67,This house believes atheism is the only way,God Is Not Great,2250,train and test,"he states that the "" feebleness "" of the bible is a result of the fact that until recently , christians faced with arguments against the logic or factualness of the bible "" could simply burn or silence anybody who asked any inconvenient questions . """,0,1,[],[],648.0
68,68,This house believes atheism is the only way,God Is Not Great,2250,train and test,"hitchens points out the problematic implications of the scriptural proclamation "" he that is without sin among you , let him cast a first stone "" with regard to the practical legislation of retributive justice : "" if only the non-sinners have the right to punish , then how could an imperfect society ever determine how to prosecute offenders ? """,0,1,[],[],648.0
69,69,This house believes atheism is the only way,God Is Not Great,2250,train and test,"of the woman whom jesus saved from the stoning ( she having been charged with adultery ) , the author contends that jesus thus forgives her of sheer sexual promiscuity , and , if this be the case , that the lesson has ever since been completely misunderstood [ ref ] .",0,1,[],[],648.0
70,70,This house believes atheism is the only way,God Is Not Great,2250,train and test,"closing the chapter , [ ref ] he suggests that advocates of religion have faith alone to rely on — nothing else — and calls on them to "" be brave enough "" to admit it .",0,1,[],[],648.0
71,71,This house believes atheism is the only way,God Is Not Great,2250,train and test,"chapter nine assesses the religion of islam , and examines the origin of its holy book , the koran .",0,1,[],[],648.0
72,72,This house believes atheism is the only way,God Is Not Great,2250,train and test,"hitchens claims that there is no evidence for any of the "" miraculous "" claims about muhammad , and that the koran 's origin was not supernatural .",0,1,[],[],648.0
73,73,This house believes atheism is the only way,God Is Not Great,2250,train and test,"hitchens contends that the religion was fabricated by muhammad or his followers and that it was borrowed from other religious texts , and the hadith taken from common maxims and sayings which developed throughout arabia and persia at the time .",0,1,[],[],648.0
74,74,This house believes atheism is the only way,God Is Not Great,2250,train and test,chapter ten discusses miracles .,0,1,[],[],648.0
75,75,This house believes atheism is the only way,God Is Not Great,2250,train and test,"hitchens claims that no supernatural miracles occur , nor have occurred in history .",0,1,[],[],648.0
76,76,This house believes atheism is the only way,God Is Not Great,2250,train and test,"hitchens claims that evidence of miracles is fabricated , or based on the unreliable testimony of people who are mistaken or biased .",0,1,[],[],648.0
77,77,This house believes atheism is the only way,God Is Not Great,2250,train and test,hitchens points out that no verifiable miracle has been documented since cameras have become commonplace .,0,1,[],[],648.0
78,78,This house believes atheism is the only way,God Is Not Great,2250,train and test,"hitchens uses a specific purported miracle by mother teresa to show how miracles can become perceived as true , when in fact they are based in myth or falsehood .",0,1,[],[],648.0
